frame_no,letter,magnitude,letter_yaw_component,letter_pitch_component,letter_roll_component,level,size,first_frame,last_frame,face_no,speaking,conf_part,fps
0,-,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
1,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
2,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
3,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
4,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
5,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
6,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
7,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
8,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
9,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
10,-,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
11,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
12,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
13,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
14,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
15,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
16,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
17,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
18,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
19,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
20,-,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
21,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
22,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
23,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
24,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
25,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
26,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
27,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
28,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
29,,0.0,0.0,0.0,0.0,0,0.0,0,0,1,0,1,25
